Day,Month,Group-ID,Bout-ID,Tree ID ,Tree Local name,Tree Genus,Tree Species,Tree family,Individuum-ID,Behaviour code ,size-sugar,hardness-sugar,colour1-sugar,colour2-sugar,scent1-sugar,scent2-sugar,variation-size,variation-hardness,variation-colour1,variation-colour2,variation-scent 
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,2,R,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,3,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,29,A10,Guave,Psidium,cattleianum,Murtaceae,4,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,29,A10,Guave,Psidium,cattleianum,Murtaceae,5,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,29,A10,Guave,Psidium,cattleianum,Murtaceae,6,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,29,A10,Guave,Psidium,cattleianum,Murtaceae,7,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,30,A10,Guave,Psidium,cattleianum,Murtaceae,4,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,30,A10,Guave,Psidium,cattleianum,Murtaceae,5,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,30,A10,Guave,Psidium,cattleianum,Murtaceae,6,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,30,A10,Guave,Psidium,cattleianum,Murtaceae,7,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,31,A10,Guave,Psidium,cattleianum,Murtaceae,4,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,31,A10,Guave,Psidium,cattleianum,Murtaceae,5,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,31,A10,Guave,Psidium,cattleianum,Murtaceae,6,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,31,A10,Guave,Psidium,cattleianum,Murtaceae,7,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,32,A10,Guave,Psidium,cattleianum,Murtaceae,4,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,32,A10,Guave,Psidium,cattleianum,Murtaceae,5,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,32,A10,Guave,Psidium,cattleianum,Murtaceae,6,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,32,A10,Guave,Psidium,cattleianum,Murtaceae,7,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,33,A10,Guave,Psidium,cattleianum,Murtaceae,4,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,33,A10,Guave,Psidium,cattleianum,Murtaceae,5,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,33,A10,Guave,Psidium,cattleianum,Murtaceae,6,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,33,A10,Guave,Psidium,cattleianum,Murtaceae,7,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,34,A10,Guave,Psidium,cattleianum,Murtaceae,4,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,34,A10,Guave,Psidium,cattleianum,Murtaceae,5,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,34,A10,Guave,Psidium,cattleianum,Murtaceae,6,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,34,A10,Guave,Psidium,cattleianum,Murtaceae,7,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,38,A12,Guave,Psidium,cattleianum,Murtaceae,4,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,38,A12,Guave,Psidium,cattleianum,Murtaceae,5,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,38,A12,Guave,Psidium,cattleianum,Murtaceae,6,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,38,A12,Guave,Psidium,cattleianum,Murtaceae,7,T,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,39,A12,Guave,Psidium,cattleianum,Murtaceae,4,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,39,A12,Guave,Psidium,cattleianum,Murtaceae,5,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,39,A12,Guave,Psidium,cattleianum,Murtaceae,6,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,39,A12,Guave,Psidium,cattleianum,Murtaceae,7,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,40,A12,Guave,Psidium,cattleianum,Murtaceae,4,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,40,A12,Guave,Psidium,cattleianum,Murtaceae,5,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,40,A12,Guave,Psidium,cattleianum,Murtaceae,6,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,40,A12,Guave,Psidium,cattleianum,Murtaceae,7,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,41,A12,Guave,Psidium,cattleianum,Murtaceae,4,R,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,41,A12,Guave,Psidium,cattleianum,Murtaceae,5,R,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,41,A12,Guave,Psidium,cattleianum,Murtaceae,6,R,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,41,A12,Guave,Psidium,cattleianum,Murtaceae,7,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,42,A13,Guave,Psidium,cattleianum,Murtaceae,4,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
4,7,2,42,A13,Guave,Psidium,cattleianum,Murtaceae,5,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
